cohort,time_days,survival,ci_low,ci_high,n_at_risk,events,censored
2025-11,141,0.2559999999999999,0.12563892801913595,0.38636107198086383,6,0,2
2025-11,143,0.2559999999999999,0.12563892801913595,0.38636107198086383,4,0,1
2025-11,144,0.2559999999999999,0.12563892801913595,0.38636107198086383,3,0,3
2025-12,0,1.0,1.0,1.0,105,0,0
2025-12,4,0.9809523809523809,0.9548063522899852,1.0,105,2,0
2025-12,5,0.9714285714285714,0.9395621837031535,1.0,103,1,0
2025-12,14,0.9619047619047619,0.9252894443247999,0.998520079484724,102,1,0
2025-12,20,0.9523809523809524,0.9116469462035672,0.9931149585583376,101,1,0
2025-12,21,0.942857142857143,0.8984589446955058,0.9872553410187801,100,1,0
2025-12,34,0.9333333333333335,0.885620612768439,0.981046053898228,99,1,0
2025-12,46,0.923809523809524,0.8730633873026886,0.9745556603163593,98,1,0
2025-12,66,0.9047619047619049,0.8486139520602026,0.9609098574636071,97,2,0
2025-12,71,0.8952380952380953,0.8366603849026089,0.9538158055735817,95,1,0
2025-12,72,0.8761904761904762,0.813190887714454,0.9391900646664983,94,2,0
2025-12,74,0.8666666666666666,0.801645188733659,0.9316881445996742,92,1,0
2025-12,76,0.8476190476190475,0.7788762634859447,0.9163618317521502,91,2,0
2025-12,77,0.8285714285714284,0.756482594484588,0.9006602626582688,89,2,0
2025-12,78,0.7999999999999998,0.7234894342808349,0.8765105657191647,87,3,0
2025-12,79,0.7809523809523807,0.7018402710960134,0.860064490808748,84,2,0
2025-12,84,0.7523809523809522,0.6698204470709855,0.8349414576909188,82,3,0
2025-12,85,0.7428571428571427,0.6592580998004186,0.8264561859138667,79,1,0
2025-12,87,0.7047619047619046,0.6175112229222681,0.7920125866015411,78,4,1
2025-12,88,0.6661448140900194,0.5758396726733551,0.7564499555066836,73,4,5
2025-12,89,0.6349192759295497,0.5421914930118885,0.7276470588472108,64,3,0
2025-12,90,0.6141022504892365,0.520033459114853,0.70817104186362,61,2,0
2025-12,91,0.5516511741682972,0.4547808973407682,0.6485214509958263,59,6,0
2025-12,92,0.5204256360078275,0.4228065601058102,0.6180447119098449,53,3,0
2025-12,94,0.510017123287671,0.41224196999646734,0.6077922765788747,50,1,3
2025-12,95,0.49892979452054775,0.4008949815091361,0.5969646075319595,46,1,0
2025-12,97,0.4656678082191779,0.36720777633638924,0.5641278401019666,45,3,0
2025-12,98,0.4656678082191779,0.36720777633638924,0.5641278401019666,42,0,2
2025-12,99,0.45402611301369844,0.35541906344942065,0.5526331625779762,40,1,3
2025-12,101,0.42880244006849294,0.3296703425380387,0.5279345375989473,36,2,6
2025-12,102,0.4134880672089039,0.3134552750854586,0.5135208593323491,28,1,3
2025-12,104,0.39625939774186625,0.2948551043143846,0.4976636911693479,24,1,0
2025-12,105,0.3790307282748286,0.27656696533469705,0.48149449121496013,23,1,4
2025-12,106,0.3790307282748286,0.27656696533469705,0.48149449121496013,18,0,4
2025-12,107,0.3790307282748286,0.27656696533469705,0.48149449121496013,14,0,1
2025-12,108,0.3790307282748286,0.27656696533469705,0.48149449121496013,13,0,1
2025-12,109,0.3790307282748286,0.27656696533469705,0.48149449121496013,12,0,2
2025-12,110,0.3790307282748286,0.27656696533469705,0.48149449121496013,10,0,1
2025-12,112,0.3790307282748286,0.27656696533469705,0.48149449121496013,9,0,3
2025-12,113,0.3790307282748286,0.27656696533469705,0.48149449121496013,6,0,4
2025-12,114,0.3790307282748286,0.27656696533469705,0.48149449121496013,2,0,1
2025-12,116,0.3790307282748286,0.27656696533469705,0.48149449121496013,1,0,1
2026-01,0,1.0,1.0,1.0,25,0,0
2026-01,3,0.96,0.8831840016663195,1.0,25,1,0
2026-01,29,0.92,0.8136530658645958,1.0,24,1,0
2026-01,50,0.8800000000000001,0.7526150778153082,1.0,23,1,0
2026-01,54,0.8,0.6432,0.9568000000000001,22,2,0
2026-01,57,0.76,0.5925834130081491,0.9274165869918509,20,1,0
2026-01,58,0.76,0.5925834130081491,0.9274165869918509,19,0,1
2026-01,59,0.7177777777777777,0.540383937894505,0.8951716176610505,18,1,1
2026-01,60,0.6729166666666666,0.4860851517469219,0.8597481815864113,16,1,1
2026-01,61,0.6248511904761904,0.42904822878608595,0.8206541521662949,14,1,0
2026-01,64,0.4806547619047618,0.27288822377757704,0.6884213000319466,13,3,1
2026-01,65,0.4806547619047618,0.27288822377757704,0.6884213000319466,9,0,1
2026-01,66,0.4806547619047618,0.27288822377757704,0.6884213000319466,8,0,1
2026-01,72,0.4806547619047618,0.27288822377757704,0.6884213000319466,7,0,1
2026-01,73,0.4806547619047618,0.27288822377757704,0.6884213000319466,6,0,1
2026-01,76,0.3845238095238095,0.14782249939636347,0.6212251196512555,5,1,0
2026-01,78,0.3845238095238095,0.14782249939636347,0.6212251196512555,4,0,1
2026-01,80,0.3845238095238095,0.14782249939636347,0.6212251196512555,3,0,2
2026-01,81,0.3845238095238095,0.14782249939636347,0.6212251196512555,1,0,1
2026-02,0,1.0,1.0,1.0,20,0,0
2026-02,1,0.9,0.7685192029230123,1.0,20,2,0
2026-02,5,0.85,0.6935065496578212,1.0,18,1,0
2026-02,11,0.7999999999999999,0.6246922705640164,0.9753077294359834,17,1,0
2026-02,28,0.7499999999999999,0.5602238160358365,0.9397761839641633,16,1,0
2026-02,30,0.7,0.49915976498719183,0.9008402350128081,15,1,0
2026-02,31,0.7,0.49915976498719183,0.9008402350128081,14,0,3
2026-02,32,0.7,0.49915976498719183,0.9008402350128081,11,0,1
2026-02,35,0.7,0.49915976498719183,0.9008402350128081,10,0,1
2026-02,42,0.6222222222222221,0.3930318753723532,0.8514125690720911,9,1,3
2026-02,43,0.4977777777777777,0.21280030190322746,0.7827552536523279,5,1,2
2026-02,45,0.4977777777777777,0.21280030190322746,0.7827552536523279,2,0,1
2026-02,52,0.4977777777777777,0.21280030190322746,0.7827552536523279,1,0,1
2026-03,0,1.0,1.0,1.0,16,0,0
2026-03,1,0.9375,0.8188898850223979,1.0,16,1,0
2026-03,2,0.9375,0.8188898850223979,1.0,15,0,1
2026-03,4,0.8705357142857143,0.7028262487098262,1.0,14,1,1
2026-03,7,0.7979910714285714,0.5926461061411794,1.0,12,1,0
2026-03,8,0.7254464285714285,0.49473504499224563,0.9561578121506114,11,1,0
2026-03,14,0.7254464285714285,0.49473504499224563,0.9561578121506114,10,0,1
2026-03,16,0.6448412698412698,0.391379617770104,0.8983029219124355,9,1,0
2026-03,17,0.6448412698412698,0.391379617770104,0.8983029219124355,8,0,2
2026-03,18,0.6448412698412698,0.391379617770104,0.8983029219124355,6,0,1
2026-03,22,0.6448412698412698,0.391379617770104,0.8983029219124355,5,0,2
2026-03,23,0.4298941798941799,0.04664568900486454,0.8131426707834952,3,1,0
2026-03,24,0.4298941798941799,0.04664568900486454,0.8131426707834952,2,0,2
